nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,tahun,bulan,wisman,wisnus,kmr,pax,rm_ava,okupansi
GRAND SENYIUR HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,181,221,2019,01,51,"1,809","1,046","1,86","5,611","18,64"
NOVOTEL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,198,267,2019,01,385,"4,314","4,368","4,70","6,138","71,16"
GRAND JATRA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 5,215,296,2019,01,385,"4,314","4,773","4,70","6,665","71,61"
FOUR POINS,Sepinggan Raya,Balikpapan Selatan,Bintang 4,138,168,2019,01,0,0,"0,000","0,00","4,278","0,00"
PLATINUM HOTEL,Graha Indah,Balikpapan Utara,Bintang 4,200,312,2019,01,201,"3,397","2.073,000","3,60","6,2","33,44"
BLUE SKY,Marga Sari,Balikpapan Barat,Bintang 4,122,140,2019,01,26,"1,448","1,839","1,47","3,782","48,63"
PENTACITY HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,80,90,2019,01,0,0,"0,000","0,00","2,48","0,00"
GRAND TJKORO,Sepinggan Raya,Balikpapan Selatan,Bintang 4,148,224,2019,01,98,"2,525","2,874","2,62","4,588","62,64"
HORISON ULTIMA,Sepinggan,Balikpapan Selatan,Bintang 4,130,130,2019,01,0,0,"0,000","0,00","4,03","0,00"
GOLDEN TULIP HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2019,01,0,0,"0,000","0,00","4,65","0,00"
SWISS BELL HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,230,350,2019,01,116,"6,56","3.577,000","6,68","7,13","50,17"
GRAND TIGA MUSTIKA HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 4,116,196,2019,01,5,845,"351,000","850,00","3,596","9,76"
ASTARA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,663,673,2019,01,65,"3,931","2,810","4,00","20,553","13,67"
MENARA BAHTERA,Klandasan Ilir,Balikpapan Kota,Bintang 4,182,252,2019,01,30,"1,941","1,302","1,97","5,642","23,08"
THE NEW BENAKUTAI,Klandasan Ilir,Balikpapan Kota,Bintang 4,91,136,2019,01,0,493,"493,000","493,00","2,821","17,48"
ANDHIKA BAHTERA HOTEL,Marga Sari,Balikpapan Barat,Bintang 4,155,205,2019,01,0,0,"0,000","0,00","4,805","0,00"
GRAND TAN HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2019,01,340,"3,904","0,000","4,24","4,65","0,00"
LE GRANDEUR HOTEL,DAMAI,Balikpapan Selatan,Bintang 4,185,200,2019,01,76,"1,918","0,000","1,99","5,735","0,00"
HER HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,154,200,2019,01,0,"2,2","1,660","2,20","4,774","34,77"
QUEST HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 3,99,143,2019,01,168,"3,735","2,110","3,90","3,069","68,75"
